,param_tfidfvectorizer__max_features,param_tfidfvectorizer__use_idf,param_tfidfvectorizer__ngram_range,param_tfidfvectorizer__norm,param_svc__kernel,mean_fit_time,std_fit_time,mean_test_neg_log_loss,std_test_neg_log_loss,rank_test_neg_log_loss,mean_test_accuracy,rank_test_accuracy,mean_test_f1_macro,rank_test_f1_macro,mean_test_roc_auc_ovr,rank_test_roc_auc_ovr
0,3000,False,"(2, 2)",l1,linear,2485.517966826757,31.490179264432992,-2.007425608128442,0.028064524898689772,9,0.12669683257918551,9,0.13058163351758031,9,0.7734279349344487,10
1,7000,True,"(1, 1)",l2,rbf,2068.816854159037,4.556349492152381,-1.1507257397676582,0.021940057715442975,2,0.6206636500754148,2,0.53505094262175,2,0.8912587756238879,1
2,5000,False,"(2, 2)",l1,poly,1990.2799175580342,5.651998913519675,-1.381875123285681,0.015891704434443297,6,0.5935143288084465,5,0.5252865569862546,6,0.8652989341710672,6
3,5000,True,"(2, 2)",l2,rbf,1594.2431989510853,8.100562815804498,-1.1449685268863756,0.03200501326360072,1,0.6248114630467572,1,0.5439875298880562,1,0.8834142554192309,3
4,6000,True,"(2, 2)",l1,poly,2235.6572709878287,38.70666386863969,-1.413023483540754,0.027469188938781565,7,0.5727752639517346,7,0.5132539130294397,7,0.8434896799703883,8
5,7000,False,"(1, 1)",l1,linear,4505.306840101878,53.901736102972826,-2.174932773257709,0.016601091744226026,10,0.06334841628959276,10,0.10826832965719928,10,0.8017389611848217,9
6,9000,True,"(1, 2)",l2,poly,2856.0928593476615,39.37038327248568,-1.235020828989671,0.02872629345062592,5,0.6074660633484162,3,0.5277830163103981,5,0.8806456050629388,4
7,5000,False,"(1, 1)",l2,linear,1836.3200480937958,7.2364674880173325,-1.1744165931164074,0.032429380602097733,3,0.5942684766214178,4,0.528394310198506,3,0.8787160331353903,5
8,7000,True,"(1, 1)",l2,sigmoid,1841.2636175950367,15.56660286434418,-1.1946457870904268,0.009900767632546527,4,0.578054298642534,6,0.5013648252742886,8,0.8838052492655571,2
9,,False,"(2, 2)",l1,poly,10485.219888766607,163.65514626881892,-1.417921952018056,0.01803737000392208,8,0.5712669683257918,8,0.5280282101527782,4,0.8561813664932107,7
