,clf,log_loss,accuracy,f1-macro,ROC
0,NB_M,1.4581013724822758,0.5090361445783133,0.4469432409884066,0.8283971631724913
1,KNN,2.8133235338833362,0.3569277108433735,0.3655641861142386,0.8194341934503545
2,RF,1.8512554543143318,0.5963855421686747,0.5566526098393423,0.8631492805844171
3,SVC,1.2272873582253272,0.6009036144578314,0.5311619628875974,0.8794895778053322
