,param_tfidf__max_features,param_tfidf__ngram_range,param_tfidf__use_idf,param_tfidf__norm,mean_fit_time,std_fit_time,mean_test_neg_log_loss,std_test_neg_log_loss,rank_test_neg_log_loss,mean_test_accuracy,rank_test_accuracy,mean_test_f1_macro,rank_test_f1_macro,mean_test_roc_auc_ovr,rank_test_roc_auc_ovr
0,3000,"(2, 2)",True,l1,1049.9337052504222,5.5170390399905544,-2.151305497480452,0.00011098191641664663,3,0.5520361990950227,3,0.39442891864555363,3,0.8261130633127424,7
1,,"(1, 2)",False,l1,1059.3731326262157,6.053938782342588,-2.175000574423884,7.944731315413796e-05,10,0.3193815987933635,10,0.08388667920860708,10,0.760344575082824,10
2,9000,"(1, 1)",True,l1,1012.4525649547577,3.826717923383839,-2.1554053167761844,0.00020248425225571115,5,0.5196078431372549,7,0.28658311677162346,7,0.8422651153180181,2
3,3000,"(1, 2)",False,l1,1060.4653961658478,10.213022282906767,-2.1647823646960416,2.4620528769243985e-05,9,0.4754901960784314,8,0.25465719120977076,8,0.8096002138774322,8
4,5000,"(1, 1)",True,l1,1003.824957370758,8.541459528871707,-2.1554094350051733,0.00035628669366535344,6,0.5316742081447964,5,0.33661385619657297,4,0.8337266559256461,5
5,6000,"(1, 2)",True,l1,1082.10094110171,19.596132541678074,-2.1618590028136606,0.00020384699566621938,7,0.523001508295626,6,0.3098565355774543,6,0.8359972393616905,3
6,8000,"(1, 1)",False,l1,1035.7103018760681,30.535762652451492,-2.1533150218686843,4.8646176482130696e-05,4,0.36274509803921573,9,0.10966311092137586,9,0.8058103826808855,9
7,1000,"(2, 2)",True,l2,1051.4108700752258,6.113062601398373,-1.7297231316461599,0.002472127393288964,2,0.5331825037707391,4,0.3337139796099393,5,0.834278102360671,4
8,5000,"(1, 1)",True,l2,903.699221611023,8.549372340388851,-1.5836840188565395,0.00678087610712106,1,0.5950226244343891,1,0.45167065292106495,1,0.851181672888036,1
9,6000,"(2, 2)",True,l1,757.1888347466787,104.82680627878153,-2.161954187761422,0.00016073488283861807,8,0.557315233785822,2,0.4135914224963578,2,0.8329714530077602,6
