,param_tfidf__max_features,param_tfidf__ngram_range,param_tfidf__use_idf,param_tfidf__norm,param_clf__n_neighbors,mean_fit_time,std_fit_time,mean_test_neg_log_loss,std_test_neg_log_loss,rank_test_neg_log_loss,mean_test_accuracy,rank_test_accuracy,mean_test_f1_macro,rank_test_f1_macro,mean_test_roc_auc_ovr,rank_test_roc_auc_ovr
0,1000,"(2, 2)",True,l1,31,985.3086287975311,8.81668205799038,-2.2972272627533483,0.20655921621797468,6,0.4769984917043741,8,0.2774786961768641,7,0.8070096679027654,9
1,2000,"(1, 1)",False,l1,17,862.7269242604574,59.31430546084403,-2.515869054268245,0.07175088310466217,8,0.5226244343891403,3,0.39275474286839124,3,0.8258359433082808,4
2,1000,"(1, 1)",False,l2,25,854.041332244873,45.03744839024211,-2.188570448825547,0.1332542956020845,5,0.5199849170437405,4,0.35922438449143845,5,0.8337321105018333,1
3,5000,"(1, 1)",False,l2,33,937.4393353462219,7.433931709595384,-1.9734479541785983,0.09035954273285296,3,0.4939668174962293,6,0.3049780067491031,6,0.831315081542859,2
4,7000,"(2, 2)",True,l2,57,1000.2857988675436,9.171289482773874,-1.7755459941376461,0.11657870439698666,2,0.4766214177978883,9,0.25831747921655196,9,0.8297993793417131,3
5,7000,"(2, 2)",True,l2,23,920.5765652656555,58.6645997512493,-2.4064600405395704,0.11994133086978957,7,0.5154600301659125,5,0.36551965121430485,4,0.8178570800338486,7
6,4000,"(1, 2)",True,l2,1,869.6365886529287,16.936454211146632,-13.948352005637012,0.11502195088062642,10,0.5961538461538461,1,0.5000265837128102,1,0.7248837940102814,10
7,4000,"(1, 1)",True,l1,59,817.2031871477762,5.248160289696712,-2.019685475728493,0.08315157223562579,4,0.43024132730015086,10,0.23076389458125457,10,0.8086250062170791,8
8,5000,"(1, 2)",False,l2,59,860.1856058438619,5.795864108743653,-1.6653841666892284,0.05385156393221499,1,0.47888386123680243,7,0.27562836210380515,8,0.8182453020009932,6
9,4000,"(1, 2)",False,l1,5,781.876966714859,56.76657491403529,-5.201508443457726,0.09457158445358907,9,0.5580693815987934,2,0.47501712208495245,2,0.8198799402614446,5
