,param_tfidf__use_idf,param_tfidf__ngram_range,param_tfidf__norm,param_clf__kernel,mean_fit_time,std_fit_time,mean_test_neg_log_loss,std_test_neg_log_loss,rank_test_neg_log_loss,mean_test_accuracy,rank_test_accuracy,mean_test_f1_macro,rank_test_f1_macro,mean_test_roc_auc_ovr,rank_test_roc_auc_ovr
0,True,"(2, 2)",l2,rbf,861.7950212955475,2.723014703369736,-1.3126307160147617,0.010961617188609395,5,0.5180995475113122,5,0.35704312712665515,4,0.7926631224474553,8
1,True,"(2, 2)",l2,linear,852.3153946399689,5.49098592914412,-1.3551945561030392,0.02143187313222805,8,0.4641779788838612,9,0.2752182261513291,9,0.8000125790557707,7
2,True,"(1, 1)",l1,poly,829.5841711362203,6.808983856642077,-1.358159498892715,0.01604248443487218,9,0.48642533936651583,8,0.3266194056080098,6,0.7697289107693858,10
3,True,"(1, 1)",l1,sigmoid,835.222059170405,7.266399303783645,-1.3400482986038844,0.026403316396121677,7,0.48755656108597284,7,0.30159212955811276,8,0.8076952043638465,6
4,False,"(1, 2)",l2,linear,871.6355556646982,5.475896109645431,-1.2324572234381248,0.03732025167578473,4,0.532051282051282,4,0.3284255676287687,5,0.8367227809299801,4
5,True,"(1, 2)",l2,rbf,869.9098513921102,10.996821879557862,-1.209641914525568,0.011874390784620839,3,0.5546757164404224,3,0.408785799212513,3,0.8418676482901383,3
6,True,"(2, 2)",l1,linear,866.9549171924591,12.862158952146183,-1.4142859660208298,0.021697621371500712,10,0.30467571644042235,10,0.07275805928748195,10,0.7741416652620581,9
7,True,"(1, 1)",l2,rbf,845.8835718631744,3.0577583982062597,-1.1983342539702777,0.019055074774013664,1,0.556184012066365,2,0.413019835832978,2,0.8443560870736752,2
8,False,"(1, 2)",l2,poly,876.3034506638845,7.451146274506656,-1.199706556050622,0.016758403596500125,2,0.5716440422322776,1,0.4502049912436458,1,0.8499670733728459,1
9,True,"(1, 2)",l2,sigmoid,701.7049506505331,118.12424944144676,-1.3309207894799147,0.022254299231005994,6,0.5003770739064857,6,0.3239983072244534,7,0.8193250780839506,5
